pna_frequency_axis,pna_power,pna_tr1_linear_magnitude,pna_tr1_magnitude,pna_tr1_phase,pna_tr1_unwrapped_phase
3659540000.0,-30.0,1.7815672159194946,5.016044616699219,108.6872787475586,-251.31271362304688
3659580000.0,-30.0,1.7838106155395508,5.026975154876709,107.9969253540039,-252.00308227539062
3659620000.0,-30.0,1.775526762008667,4.986544609069824,107.43374633789062,-252.5662384033203
3659660000.0,-30.0,1.7733148336410522,4.975717067718506,106.67475128173828,-253.3252410888672
3659700000.0,-30.0,1.763681173324585,4.928401947021484,106.31311798095703,-253.6868896484375
3659740000.0,-30.0,1.7592779397964478,4.906688690185547,105.38507080078125,-254.6149139404297
3659780000.0,-30.0,1.7577461004257202,4.899122714996338,104.83983612060547,-255.16015625
3659820000.0,-30.0,1.7528830766677856,4.875059127807617,104.18460845947266,-255.81539916992188
3659860000.0,-30.0,1.746174931526184,4.841755390167236,103.38958740234375,-256.61041259765625
3659900000.0,-30.0,1.7485309839248657,4.853466510772705,102.72570037841797,-257.2742919921875
3659940000.0,-30.0,1.7428838014602661,4.825368404388428,101.97601318359375,-258.02398681640625
3659980000.0,-30.0,1.7423902750015259,4.822908878326416,101.37884521484375,-258.62115478515625
3660020000.0,-30.0,1.7314039468765259,4.767967700958252,100.78483581542969,-259.21514892578125
3660060000.0,-30.0,1.7299672365188599,4.7607574462890625,100.0391845703125,-259.9608154296875
3660100000.0,-30.0,1.7253462076187134,4.73752498626709,99.41964721679688,-260.5803527832031
3660140000.0,-30.0,1.718073844909668,4.700836658477783,98.87108612060547,-261.1289367675781
3660180000.0,-30.0,1.7154948711395264,4.687788486480713,98.53409576416016,-261.4659118652344
3660220000.0,-30.0,1.7045310735702515,4.632098197937012,97.8312759399414,-262.1687316894531
3660260000.0,-30.0,1.6969915628433228,4.593594074249268,97.54337310791016,-262.4566345214844
3660300000.0,-30.0,1.6946802139282227,4.5817551612854,96.68901824951172,-263.31097412109375
3660340000.0,-30.0,1.6875271797180176,4.545015811920166,96.13798522949219,-263.86199951171875
3660380000.0,-30.0,1.6843715906143188,4.5287580490112305,95.62191772460938,-264.3780822753906
3660420000.0,-30.0,1.6802608966827393,4.507534503936768,94.92424774169922,-265.0757751464844
3660460000.0,-30.0,1.6765302419662476,4.488227844238281,94.09085083007812,-265.9091491699219
3660500000.0,-30.0,1.6707829236984253,4.458400249481201,93.57550811767578,-266.4244689941406
3660540000.0,-30.0,1.666356086730957,4.435356616973877,93.02764129638672,-266.9723815917969
3660580000.0,-30.0,1.6575199365615845,4.3891754150390625,92.5584716796875,-267.4415283203125
3660620000.0,-30.0,1.6548616886138916,4.3752336502075195,91.6751708984375,-268.3248291015625
3660660000.0,-30.0,1.6494922637939453,4.347005844116211,91.00091552734375,-268.99908447265625
3660700000.0,-30.0,1.6465508937835693,4.331503391265869,90.20221710205078,-269.7977600097656
3660740000.0,-30.0,1.647220492362976,4.3350348472595215,89.62500762939453,-270.375
3660780000.0,-30.0,1.6430952548980713,4.3132548332214355,88.83316040039062,-271.1668395996094
3660820000.0,-30.0,1.6377345323562622,4.284870147705078,88.28874969482422,-271.71124267578125
3660860000.0,-30.0,1.6287721395492554,4.23720645904541,87.56767272949219,-272.4323425292969
3660900000.0,-30.0,1.6283026933670044,4.2347025871276855,86.94762420654297,-273.0523986816406
3660940000.0,-30.0,1.6231926679611206,4.207401275634766,86.40335845947266,-273.5966491699219
3660980000.0,-30.0,1.615687608718872,4.167148113250732,85.81004333496094,-274.1899719238281
3661020000.0,-30.0,1.608155608177185,4.126561641693115,85.3313217163086,-274.6686706542969
3661060000.0,-30.0,1.6016387939453125,4.091291427612305,84.83534240722656,-275.1646728515625
